recording_id,segment_idx,disfluency_type,clip_path,text
825780,0,filler_मतलब,outputs\disfluency_clips\825780_0_filler_मतलब.wav,अब काफी अच्छा होता है क्योंकि उनकी जनसंख्या बहुत कम दी जा रही है तो हमें उनको देखना था तो एक देखना था मतलब वो तो देखना था लेकिन हमारा प्रोजेक्ट भी था कि जो जन जाती पाई जाती है उधर कि उधर की एरिया में उसके बारे में देखना अब
825780,1,filler_तो,outputs\disfluency_clips\825780_1_filler_तो.wav,अनुभव करके कुछ लिखना था तो वह तो बिना देखिए नहीं हो सकती थी तो हम वहां गया थे कुड़रमा घाटी तरफ पर दिवोग काफी जंगली एरिया है वह जो खांड जनजाति पाए जाती ना वहां पाए जाती है तो
825780,2,filler_तो,outputs\disfluency_clips\825780_2_filler_तो.wav,जंगल का सफर होता है जब हम रहने के लिए गए थे नातो चाहते के साथ जैसे हम वहाँ पहले एंटर किये थे तो पहले तो गिर गया थे लगड़ा के उपर से नीचे
825780,3,filler_आ,outputs\disfluency_clips\825780_3_filler_आ.wav,पहली बारी था क्योंकि चलना नहीं आता न वहाँ का जो लैंड एरिया होता है इधर उधर काफी इधर जाओ तो उधर लुढ़क जाओगे
825780,4,filler_आ,outputs\disfluency_clips\825780_4_filler_आ.wav,हां तो फिर वहां जो दिन भर तो दिन में तो खोजने में वक्त बीत गया। जब रात की बारी आई तो हमने टेंट गड़ा और रहा तो जब पता जैसी रात हुआ ना शाम मतलब छै सात में इतना
825780,5,filler_आ,outputs\disfluency_clips\825780_5_filler_आ.wav,अजीब सा आवाज आने लगा बहुत अजीब सा डर तो इतना लगा था कि अगर कोई आता तो हम टैंट उखाड़ ही बाग जाते लेकिन कुछ आया नहीं ऐसा कुछ हुआ नहीं
825780,6,filler_तो,outputs\disfluency_clips\825780_6_filler_तो.wav,डर लगता है लेकिन बहुत सारे थे तो पता सब अपना अपना कैम्प डाल के रह रहा था और हम अकेली थे क्योंकि हमें बहुत सारा प्रोजेक्ट लिखना था तो हम अकेली बैठे थे कि मुझे करनी भी तो है न क्योंकि वहाँ घूमने तो गए नहीं थे और तो
825780,7,filler_आ,outputs\disfluency_clips\825780_7_filler_आ.wav,ऐसा ही बात था तो पता है रात को मतलब जैसे छः सात आठ किलोमीटर में नौ बजे है नौ उसके बाद लेकिन शांति लेकिन सुकुन बहुत मिला और जैसे सुबह हुआ ना जैसे घर में तो सुबह उठते हैं तो ये काम करो वो काम करो तो
825780,8,filler_आ,outputs\disfluency_clips\825780_8_filler_आ.wav,लगता है कि सर सुबह हो गया लेकिन कोई उठाने वाला नहीं था पता आराम से सो रहे थे सुबह दस बज गया था और जो जन जाती हैं हमने हां सुना है कि वहां की खंड जन जाती पाए जाती है तो पता ऐसे
825780,9,filler_आ,outputs\disfluency_clips\825780_9_filler_आ.wav,हम्म हम लोग की तो सुबह होती है की मम्मी उठाने आती है तो वह मम्मी नहीं उठाने के लिए वो लोग उठाने के लिए आए थे। अब पता है कैसे उठाएं उठा के हम को बाहर कर दिया टेंट से बाहर उखाड़ मतलब उखाड़ कर हाँ
825780,10,filler_आ,outputs\disfluency_clips\825780_10_filler_आ.wav,अराम से हां आराम से सो रहे थे हम और पता है जब उठे ना तो ऐसे उन लोग चिला रहे थे तो मेको समझ में आ नहीं रहा था कि क्या बोल रहे ऐसे हुर कुछ हुर कुछ के बदक बदक उड़न्टा साथ कुछ रहे थे
825780,11,filler_आ,outputs\disfluency_clips\825780_11_filler_आ.wav,बहुत अजीब सा अनुभव था क्योंकि वो पता है उठा उठा के उनको पटक रहे थे बार बार और वो किस भाषा में बात कर रहे थे मुझे समझ में नहीं आ रही थे तो जो हमारे गार्ड अंकल थे न वो आके फिर बताए कि नहीं नहीं ये लोग।
825780,13,filler_आ,outputs\disfluency_clips\825780_13_filler_आ.wav,"हां बाहरी आ गया तो, वहां के जो थे ना वो अपने भाषा में कुछ बात किए तो हमको तो कुछ समझ में नहीं आया, लेकिन वो अपने भाषा में बात कर रहे थे तो फिर फिर पता है हम को छोड़ दिए फिर घर घर तो नहीं।"
825780,14,filler_आ,outputs\disfluency_clips\825780_14_filler_आ.wav,अ रोड पे होता है न रोड का जो एरिया वो रोड पे हम लोग को छोड़ने आए और कुछ अपनी भाषा में ही बात कर रहे थे तो समझ में तो आए न लेकिन अब दुबारा हम घाटे तो नहीं जाएंगे
825780,16,filler_आ,outputs\disfluency_clips\825780_16_filler_आ.wav,और फिर अमेजन का जंगन होता है ना वो उससे भी थोड़ा मतलब जुड़ा हुआ है
825780,19,filler_तो,outputs\disfluency_clips\825780_19_filler_तो.wav,पता है लेकिन जब लोग घूमने जाते हैं तो लाइट वगैरा लेकर जाने चाहिए हम ने मिस्टेक किए कि हम लाइट नहीं ले गए थे
825780,21,filler_आ,outputs\disfluency_clips\825780_21_filler_आ.wav,तो जहां डर रहेगा वहा थोड़ा सा मजा आएगा वहा पर मजा आएगा वहा पर डर भी तो होनी चाहिए थोड़ा सा बढ़ना हम लोग भूल जायेगा न
825780,23,filler_आ,outputs\disfluency_clips\825780_23_filler_आ.wav,आपको पता है आपको एक बात पता जब तंबू गाड़ के रहते हैं ना हम लोग टेंट वगेरा अगर कहीं भी कैम्पिंग करने जाते हैं तो आसपास की एरिया मतलब कुछ एरिया में थोड़ा पता है आग लहरा देना चाहिए
825727,2,repetition_जी,outputs\disfluency_clips\825727_2_repetition_जी.wav,जी जी जी ।
825727,3,repetition_जी,outputs\disfluency_clips\825727_3_repetition_जी.wav,जी जी जी
825727,6,filler_आ,outputs\disfluency_clips\825727_6_filler_आ.wav,"हा हा,पहली बार था, पहली बार था,क्या आप लोग का जंगल में कैंपिंग जी हा वहां का जो रास्ते होते है,थोड़े हा रास्ते होते है,वो उबड़खाबड़ रास्ते होते है।"
825727,7,repetition_जी,outputs\disfluency_clips\825727_7_repetition_जी.wav,जी जी जी
825727,9,repetition_डर,outputs\disfluency_clips\825727_9_repetition_डर.wav,जी डर डर डर लगा
825727,10,filler_मतलब,outputs\disfluency_clips\825727_10_filler_मतलब.wav,मतलब होते हैं जंगलों में जब हम किसी जंगलों में एडवेंचर करने जाते हैं जंगलों में हम जब कैंपिंग करने जाते हैं तो इसी रात की माहौल होता है उसे डर तो डर सबको लगता है
825727,11,filler_आ,outputs\disfluency_clips\825727_11_filler_आ.wav,जी जी जी आह
825727,12,repetition_जी,outputs\disfluency_clips\825727_12_repetition_जी.wav,जी जी जी।
825727,13,repetition_जी,outputs\disfluency_clips\825727_13_repetition_जी.wav,ही बहुत जी जी हा हा
825727,14,repetition_जी,outputs\disfluency_clips\825727_14_repetition_जी.wav,जी जी
825727,17,filler_आ,outputs\disfluency_clips\825727_17_filler_आ.wav,हा उठा के सीधे आप सोई हुए थे आप सोई हुए थे आपको सोई हुए टांक की लिया है बाहर
825727,19,filler_आ,outputs\disfluency_clips\825727_19_filler_आ.wav,हा अच्छा अच्छा मतलब एक मतलब अजीब साउन बहुत हाँ ये आपके लिए है न
825727,20,filler_अह,outputs\disfluency_clips\825727_20_filler_अह.wav,हाहाहाआपको डर भी लग रहा होगा और अजीब ही अहम हुआ था डर भी लग रहा था
825727,21,filler_आ,outputs\disfluency_clips\825727_21_filler_आ.wav,जो खतरा महसूस उनको लगा है कोई मतलब बाहरी आ गया है कुछ अ कुछ करने आ गया जी जी टी हाँ हाँ जी
825727,23,filler_अह,outputs\disfluency_clips\825727_23_filler_अह.wav,अच्छा अच्छा अह जहां तक मेरा एक्सपीरियंस रहा है कि अगर जंगलों या हिल स्टेशन पर कैंम्पिंग करने की योजना बनाये तो हमने एक बार जो नेपाल का जंगल है नेपाल में काफी कुख्यात जंगल है
825727,24,filler_आ,outputs\disfluency_clips\825727_24_filler_आ.wav,बहोत बड़ी जंगल नेपाल की बोर्डर बिहा बिहार की बिहार और नेपाल को बॉर्डर है और भारत भारत और नेपाल का भी बॉर्डर है वहां पर बहुत बड़ा जंगल है बहुत घनां जंगल है लगभग मेरे को लगता है बारह किलोमीटर मे फैला हुआ है वो जंगल हाँ
825727,25,filler_अह,outputs\disfluency_clips\825727_25_filler_अह.wav,जी जी जी तो मैं बता रहा हूँ न तो हम हम लोग गए थे अह्ह्ह तो वो मतलब बिहार ओर भारत के मतलब भारत ओर गुरु उसके बॉर्डर पे था तो हम लोग जब कैंपिंग करने गए थे अह्ह् कैंपिंग करने गये तो हम लोगो ने मतलब ऐसे घूमने की घूमने की अहह मतलब हम जंगल घूमने गए थे
825727,26,filler_मतलब,outputs\disfluency_clips\825727_26_filler_मतलब.wav,ठीक हैं तो हम लोग ऐसे घूमने के शोक मैं तो हम लोग चार दोस्त कैंप वगैरह जो भी चीज होती हैं वह चीज लेकर निकल गए थे वह एक अजीब सा वह था की मतलब ट्रेन पकड़ वह जाकर स्टील ज्वेलर्स
825727,27,filler_आ,outputs\disfluency_clips\825727_27_filler_आ.wav,जी जी जी वो तो मतलब जरूरी जरूरी चीजे मैं लेके जैसे मै था हम लोगों का पहला बार था तो उतना एक्सपीरियंस नहीं था जो हम लोग वीडियो से देख कर सीखा था वही लेकर हम लोग गए थे वही लेकर हम लोग कैंपिंग किए थे जंगल में मिजोरम में जंगल घूमने गए थे तो क्या हुआ कि मैं आपको बता रहा हूं
825727,28,filler_आ,outputs\disfluency_clips\825727_28_filler_आ.wav,तो वो बहुत ही घना जंगल है वहां पे अभी भी मतलब सेर और बाग घूमते है ऐसे रातों को घूमते है वो तो क्या हुआ जब स्टेशन जहां उस जंगल का स्टेशन है वहां पर जब ट्रेन रुकी ना तो जब ही ट्रेन रुकी ना तो चारों तरफ से बंदर
